"","Run","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","Experiment","genome_build","GEO_Accession..exp.","Instrument","library_strategy","LibraryLayout","LibrarySelection","LibrarySource","Organism","Platform","ReleaseDate","Sample.Name","source_name","SRA.Study","sex","Biomaterial_provider"
"244","SRR8370886","OTHER",285,159503635,"PRJNA511892","SAMN10645528",82574584,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181139","mm10","GSM3531395","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531395","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"245","SRR8370887","OTHER",291,31652947,"PRJNA511892","SAMN10645527",16941939,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181140","mm10","GSM3531396","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531396","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"246","SRR8370888","OTHER",289,50155173,"PRJNA511892","SAMN10645526",26552564,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181141","mm10","GSM3531397","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531397","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"247","SRR8370889","OTHER",292,484657336,"PRJNA511892","SAMN10645525",252213831,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181142","mm10","GSM3531398","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531398","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"248","SRR8370890","OTHER",286,397566795,"PRJNA511892","SAMN10645524",205237603,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181143","mm10","GSM3531399","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531399","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"249","SRR8370891","OTHER",222,155061753,"PRJNA511892","SAMN10645523",80422081,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181200","mm10","GSM3531400","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531400","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"250","SRR8370892","OTHER",287,301238940,"PRJNA511892","SAMN10645522",156196529,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181201","mm10","GSM3531401","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531401","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"251","SRR8370893","OTHER",290,368999767,"PRJNA511892","SAMN10645521",190741965,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181202","mm10","GSM3531402","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531402","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"252","SRR8370894","OTHER",278,193836824,"PRJNA511892","SAMN10645520",101575339,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181203","mm10","GSM3531403","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531403","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
"254","SRR8370896","OTHER",289,123946554,"PRJNA511892","SAMN10645567",65243017,"GEO","public","fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1","SRX5181205","mm10","GSM3531405","Illumina HiSeq 4000","sn-m3C","PAIRED","other","GENOMIC","Mus musculus","ILLUMINA","2019-01-01T00:00:00Z","GSM3531405","Mouse Embryonic Stem Cell Line E14","SRP174501","male",""
